TRAP,Type,LU_Around,Height_Mx,Dist_BG,Dist_Town,Robbed,Dist_Town_KM,Dist_GB_KM,Condition
9344,Burial Mound,Pasture,1.5,45463.35576333291,1956.5762728169707,Yes,1.9565762728169707,45.46335576333291,2
9342,Burial Mound,Pasture,1.7,45613.27478302129,1776.0872403617132,No,1.7760872403617132,45.61327478302129,4
9019,Burial Mound,Pasture,1,48587.920539844796,587.3954174646218,Yes,0.5873954174646218,48.587920539844795,5
9018,Burial Mound,Pasture,1.5,48395.14992527784,439.047376074719,Yes,0.439047376074719,48.395149925277835,5
9020,Extinct Burial Mound,Pasture,1.5,48490.73201377466,573.2274213014645,No,0.5732274213014644,48.49073201377466,5
9016,Extinct Burial Mound,Agriculture,0.3,48271.57074983451,646.5822232261693,No,0.6465822232261693,48.27157074983451,5
9015,Extinct Burial Mound,Agriculture,0.5,48425.25207455949,778.4319665058365,No,0.7784319665058365,48.42525207455949,5
9017,Burial Mound,Pasture,1.8,48343.870101844805,712.0536703699281,No,0.7120536703699281,48.34387010184481,5
9355,Burial Mound,Agriculture,1,48686.74121240006,980.2559447175194,No,0.9802559447175193,48.686741212400065,4
9083,Burial Mound,Agriculture,2,53705.80249229193,952.4862601225262,No,0.9524862601225262,53.70580249229193,5
9085,Extinct Burial Mound,Agriculture,0.4,54667.155457689245,449.37558497823005,No,0.44937558497823005,54.66715545768925,5
9087,Extinct Burial Mound,Agriculture,1,53845.63459852302,398.1199160337567,No,0.3981199160337567,53.84563459852302,5
9086,Burial Mound,Agriculture,2,54530.52735830081,410.3399962336035,No,0.41033999623360345,54.53052735830081,5
9174,Burial Mound,Agriculture,2.5,57954.56359157536,498.831709014123,No,0.49883170901412305,57.95456359157536,3
9171,Burial Mound,Pasture,2,58070.821079195375,313.4719780970368,No,0.3134719780970368,58.070821079195376,4
9170,Burial Mound,Agriculture,0.8,58280.855344935844,80.46844016771207,No,0.08046844016771207,58.280855344935844,5
9175,Burial Mound,Agriculture,5,59003.61828838978,74.53214987883504,No,0.07453214987883504,59.00361828838978,1
9177,Burial Mound,Pasture,1.7,59930.697139361066,596.7640182482061,Yes,0.596764018248206,59.930697139361065,4
9180,Burial Mound,Pasture,3,59394.42997869711,345.82170743359865,No,0.34582170743359864,59.39442997869711,2
9179,Burial Mound,Pasture,5,59297.967301485725,276.41799576160696,Yes,0.27641799576160697,59.29796730148573,2
9181,Burial Mound,Pasture,4,58470.39544298012,142.69967249899744,No,0.14269967249899745,58.47039544298012,2
9178,Extinct Burial Mound,Agriculture,0.4,56012.905207886,2387.971297137834,No,2.387971297137834,56.012905207886,5
9356,Burial Mound,Agriculture,0.5,47794.29342830075,868.6576335813679,No,0.8686576335813679,47.79429342830075,4
9301,Extinct Burial Mound,Agriculture,0.5,63887.4853582568,2370.5312117560247,No,2.370531211756025,63.887485358256804,5
9222,Burial Mound,Pasture,2,59469.78424580171,2238.011684587416,Yes,2.238011684587416,59.46978424580171,3
9225,Burial Mound,Pasture,1,59520.65917974901,2220.1559494236917,No,2.2201559494236918,59.52065917974901,2
9226,Burial Mound,Pasture,1.5,59497.75321237709,2148.9661994438497,Yes,2.1489661994438496,59.497753212377084,3
9220,Burial Mound,Pasture,3,58884.20866969494,1297.5887811445177,No,1.2975887811445177,58.88420866969494,1
9259,Burial Mound,Pasture,2,59024.48577688949,1113.562181702251,No,1.1135621817022512,59.024485776889485,5
9258,Burial Mound,Agriculture,2.5,58661.9276376608,1258.2657980837837,No,1.2582657980837837,58.6619276376608,5
9257,Burial Mound,Agriculture,2.5,58600.29343976411,1209.331910096591,Yes,1.209331910096591,58.60029343976411,3
9215,Extinct Burial Mound,Agriculture,1,58730.47452813931,581.9726652448082,No,0.5819726652448083,58.73047452813931,5
9190,Burial Mound,Agriculture,1.5,57607.03757141867,1471.7928741454703,Yes,1.4717928741454702,57.607037571418665,5
9191,Burial Mound,Agriculture,2,57945.031603553645,1595.6430897923506,No,1.5956430897923506,57.945031603553645,5
9192,Extinct Burial Mound,Agriculture,1,58209.0075763673,1710.090645392086,No,1.7100906453920859,58.2090075763673,5
9216,Burial Mound,Agriculture,5,59302.75759180624,959.396001685238,Yes,0.9593960016852381,59.30275759180624,2
9193,Burial Mound,Pasture,2.5,56957.42728467762,135.43817715143604,No,0.13543817715143602,56.95742728467762,1
9218,Burial Mound,Pasture,8,60956.830051387435,2632.4709110669446,Yes,2.6324709110669446,60.956830051387435,3
9199,Burial Mound,Agriculture,1.5,60368.34031696185,1245.6582093683396,No,1.2456582093683397,60.36834031696185,5
9195,Burial Mound,Agriculture,1.5,59756.197913063515,966.5851494746488,No,0.9665851494746488,59.75619791306352,2
9196,Burial Mound,Pasture,4,60325.6657835081,681.4992597027972,Yes,0.6814992597027972,60.3256657835081,5
9300,Extinct Burial Mound,Agriculture,0.4,62398.55157167437,1016.6779289774182,No,1.0166779289774182,62.39855157167437,5
9197,Extinct Burial Mound,Agriculture,0.8,62431.36032912635,883.8808672710077,No,0.8838808672710077,62.43136032912635,5
9198,Burial Mound,Agriculture,1,62432.81109694557,885.1153567975947,Yes,0.8851153567975947,62.432811096945564,3
9276,Burial Mound,Agriculture,0.7,60624.761978321534,2010.9618740851167,No,2.0109618740851167,60.62476197832154,5
9274,Burial Mound,Agriculture,5,60488.65114884259,1847.73916195404,No,1.84773916195404,60.48865114884259,1
9279,Burial Mound,Agriculture,2,59341.40503219463,832.0194205570785,No,0.8320194205570786,59.34140503219463,5
9280,Burial Mound,Pasture,5,58753.7451658647,955.4276269552108,No,0.9554276269552108,58.7537451658647,2
9281,Burial Mound,Pasture,4,58686.22318729535,938.4643467342138,Yes,0.9384643467342138,58.68622318729535,2
9273,Burial Mound,Agriculture,2.5,57167.73026239466,700.5200471076998,Yes,0.7005200471076999,57.16773026239466,3
